Shea Hembrey,Steve Keil,Camille Seaman,Onyx Ashanti,Iraola,isPartial
0,0,0,0,15,False
0,0,0,0,44,False
0,0,0,0,18,False
0,0,0,0,42,False
0,0,0,0,30,False
0,12,0,0,42,False
0,0,0,0,25,False
0,12,0,0,58,False
11,0,0,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,0,0,36,False
0,0,0,0,22,False
0,0,0,9,23,False
0,0,0,0,12,False
0,0,0,0,18,False
0,0,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,8,False
0,0,0,7,28,False
0,0,0,0,39,False
0,0,0,0,39,False
0,6,0,0,22,False
0,0,0,0,14,False
0,6,0,0,20,False
0,5,0,0,40,False
0,0,0,0,19,False
0,0,0,5,32,False
0,0,0,0,21,False
0,0,5,0,28,False
0,0,0,0,21,False
0,0,5,0,18,False
0,0,0,0,16,False
4,8,0,0,24,False
0,0,0,0,39,False
0,0,0,0,29,False
0,0,0,0,38,False
0,3,0,0,35,False
0,0,0,0,17,False
0,0,0,0,24,False
0,0,0,0,25,False
0,3,0,3,12,False
0,0,0,0,23,False
0,0,0,0,28,False
0,0,0,0,33,False
0,2,2,0,17,False
0,0,0,0,29,False
0,0,5,0,22,False
0,0,0,0,30,False
0,2,0,0,23,False
0,2,2,0,36,False
0,0,2,0,26,False
0,0,5,0,18,False
0,0,2,0,22,False
0,2,0,0,41,False
0,0,2,0,35,False
2,0,0,0,33,False
0,0,2,2,31,False
0,2,0,0,31,False
0,0,2,0,29,False
0,0,2,0,30,False
0,0,3,0,29,False
0,0,0,0,31,False
0,2,2,0,32,False
0,2,0,0,23,False
0,0,2,0,27,False
0,2,2,0,29,False
0,0,0,0,39,False
0,1,1,1,36,False
0,0,2,0,33,False
0,1,3,0,33,False
0,0,1,0,39,False
0,0,0,0,24,False
0,0,0,0,21,False
0,0,0,0,28,False
0,1,1,0,30,False
0,0,1,0,28,False
0,0,1,0,18,False
0,0,0,1,26,False
0,0,0,0,31,False
0,0,1,0,32,False
0,0,2,1,41,False
0,0,2,0,31,False
0,4,1,0,26,False
0,1,1,0,31,False
1,0,2,1,36,False
1,1,1,0,28,False
0,0,1,0,33,False
11,2,5,4,28,False
5,1,2,3,25,False
4,2,2,0,33,False
2,0,2,3,32,False
2,3,2,1,25,False
3,2,1,2,28,False
4,1,2,1,25,False
2,2,1,1,22,False
1,2,1,1,27,False
1,0,3,1,52,False
0,3,0,2,28,False
1,3,1,1,37,False
3,1,1,1,26,False
2,1,14,1,24,False
6,1,1,1,23,False
3,1,2,0,23,False
2,1,3,1,23,False
0,0,2,1,21,False
1,1,1,2,24,False
1,1,1,1,28,False
2,1,2,1,29,False
2,1,1,1,20,False
1,1,1,1,24,False
2,1,4,1,23,False
2,1,3,1,24,False
1,1,7,0,22,False
2,1,3,1,23,False
1,1,1,0,24,False
1,1,2,1,24,False
1,0,2,1,25,False
2,1,1,1,26,False
1,1,1,1,22,False
2,1,1,1,24,False
0,0,1,0,27,False
2,1,1,0,20,False
1,1,4,1,20,False
1,1,2,1,21,False
1,1,1,1,22,False
1,1,0,1,30,False
1,1,0,1,33,False
1,2,1,0,28,False
1,1,1,1,29,False
1,1,2,1,19,False
0,0,1,1,22,False
1,1,1,1,27,False
1,2,1,0,33,False
0,1,2,0,36,False
0,1,1,0,100,False
0,1,1,1,40,False
0,0,0,0,49,False
0,0,1,1,35,False
1,1,1,0,28,False
1,0,1,0,23,False
0,1,0,0,19,False
0,0,0,0,19,False
0,1,1,0,24,False
1,1,1,0,19,False
0,0,1,0,22,False
1,0,0,0,20,False
0,0,0,0,24,False
0,0,0,1,25,False
0,0,0,0,27,False
0,0,0,0,16,False
0,0,1,0,22,False
0,0,1,0,24,False
0,0,1,0,29,False
0,0,0,0,19,False
0,0,0,0,19,False
0,0,0,1,21,False
0,1,1,0,21,False
0,0,0,0,19,False
0,0,0,0,17,False
0,0,1,1,19,False
0,0,0,0,17,False
0,0,0,0,14,False
0,0,0,0,15,False
0,0,1,0,14,False
0,0,2,0,15,False
0,0,1,0,12,False
1,0,0,0,16,False
0,0,0,0,20,False
1,0,1,1,17,False
0,1,1,1,14,False
0,0,1,1,18,False
0,0,0,1,16,False
0,0,0,0,17,False
0,0,0,0,17,False
0,0,0,0,17,False
0,0,0,0,19,False
1,0,1,0,16,False
0,0,0,0,17,False
0,0,0,0,15,False
0,0,1,0,17,False
0,0,1,1,15,False
0,0,1,0,15,False
0,0,1,0,21,False
0,0,0,1,15,False
0,0,0,1,19,False
1,0,0,1,18,False
1,0,0,0,16,False
1,0,0,0,16,False
0,0,1,1,17,False
0,1,1,0,17,False
0,0,0,0,25,False
1,0,1,0,50,False
0,1,0,0,21,False
1,0,0,0,13,False
0,0,1,0,12,False
0,0,0,0,18,False
0,0,0,0,31,False
0,0,0,1,26,False
0,0,1,0,19,False
0,0,0,0,16,True
